model,K,n_oos_days,TE_annual_oos_full,IR_full_period,sharpe_full_period,portfolio_return_full_period,benchmark_return_full_period,tracking_difference_full_period
Contribution,75,808,0.04696817469911106,0.11291427862395619,1.1450727790180035,0.7275295020033794,0.707610396454617,0.019919105548762417
Contribution,100,808,0.04173261305584968,0.3840711234873039,1.2641881721793067,0.79381052428166,0.707610396454617,0.086200127827043
Contribution,125,808,0.038696013503259935,0.223264470037075,1.21672764386547,0.7519125086968195,0.707610396454617,0.044302112242202485
Contribution,150,808,0.03418574098983473,0.546183697458848,1.3076386170485286,0.8117950823115709,0.707610396454617,0.10418468585695395
Contribution,175,808,0.031525881552439676,0.34917859297685755,1.2697855010027763,0.7691463583889433,0.707610396454617,0.06153596193432631
Contribution,200,808,0.030077977141459676,0.6624098242708418,1.3323424443588312,0.8207024520609421,0.707610396454617,0.11309205560632507
LASSO,75,808,0.02367768528718351,1.7473290241718273,1.5220401793273075,0.9541931125945335,0.707610396454617,0.24658271613991656
LASSO,100,808,0.0226947903535355,1.6036502680348188,1.489060941381634,0.9234016564150616,0.707610396454617,0.21579125996044457
LASSO,125,808,0.022122946661366015,1.7539066314209935,1.5080027295466887,0.9384876839618683,0.707610396454617,0.23087728750725134
LASSO,150,808,0.021987688793541665,1.6880341702094115,1.4965571129036268,0.9280786806411137,0.707610396454617,0.22046828418649667
LASSO,175,808,0.021913975391638595,1.6454921662456836,1.487078340791976,0.9213799678839012,0.707610396454617,0.2137695714292842
LASSO,200,808,0.02219426583525075,1.7460300589962858,1.5081021445230125,0.938225885479085,0.707610396454617,0.23061548902446805
Layered,75,808,0.024351236023387894,2.1440231891816226,1.5982628211899783,1.0233048523935055,0.707610396454617,0.31569445593888856
Layered,100,808,0.024523166407136338,1.4003540991499426,1.4856360823447747,0.9117438535384774,0.707610396454617,0.20413345708386044
Layered,125,808,0.024038266110917625,1.3536592492206676,1.4825503251090941,0.901493682075275,0.707610396454617,0.19388328562065804
Layered,150,808,0.022916725891397836,1.3494081387244379,1.4549020536440083,0.8903114408970443,0.707610396454617,0.1827010444424273
Layered,175,808,0.023503471419113908,1.6004068161059264,1.5051589487207024,0.9316028349349805,0.707610396454617,0.22399243848036354
Layered,200,808,0.021932089359433787,1.3474516932490337,1.4468022397008324,0.8821609654061513,0.707610396454617,0.1745505689515343
MIQP_Gurobi,75,808,0.02202660548443703,2.078739063453901,1.5565848134730096,0.9823413216275165,0.707610396454617,0.27473092517289954
MIQP_Gurobi,100,808,0.02331484917742336,1.5733553789186552,1.4963408364286173,0.9256306252053996,0.707610396454617,0.21802022875078264
MIQP_Gurobi,125,808,0.02357052409135391,1.1167944246130006,1.4295316685093455,0.8632136059508437,0.707610396454617,0.15560320949622675
MIQP_Gurobi,150,808,0.023640470393779943,0.7933456080480502,1.3692703446316634,0.8179605491507511,0.707610396454617,0.11035015269613413
MIQP_Gurobi,175,808,0.02283273454198271,1.190969310926714,1.4248702848885912,0.8674953610686191,0.707610396454617,0.15988496461400215
MIQP_Gurobi,200,808,0.023362963174714733,1.1519981532459382,1.424974890547371,0.8660144085956603,0.707610396454617,0.15840401214104327
MarketCap,75,808,0.021713196078132182,2.964941364956145,1.6891825147577129,1.10430912840412,0.707610396454617,0.396698731949503
MarketCap,100,808,0.020933248357380644,2.8457838328964593,1.6546884131561312,1.072058349370153,0.707610396454617,0.364447952915536
MarketCap,125,808,0.02022199085136451,2.9638224077698587,1.6604424544318248,1.0747238788481255,0.707610396454617,0.3671134823935085
MarketCap,150,808,0.019633276563093258,3.03378752280356,1.6541683229297943,1.0719578628945379,0.707610396454617,0.3643474664399209
MarketCap,175,808,0.019698127314024903,2.874013761001202,1.6300281362635527,1.0521757188770464,0.707610396454617,0.34456532242242943
MarketCap,200,808,0.01994374631671706,2.7017136608459613,1.612815477912545,1.0344539423130037,0.707610396454617,0.3268435458583867
Stratified,75,808,0.02275993016007646,3.1060391214954235,1.741389730840136,1.1479704924418752,0.707610396454617,0.4403600959872582
Stratified,100,808,0.021038022625108847,3.187926522819149,1.7108273214630445,1.1227398835691744,0.707610396454617,0.41512948711455744
Stratified,125,808,0.02063432159575082,2.874468780057539,1.66023081956618,1.0709482094366134,0.707610396454617,0.3633378129819964
Stratified,150,808,0.020272184553963086,2.7467518106106947,1.6280774433620795,1.0464371225976028,0.707610396454617,0.3388267261429858
Stratified,175,808,0.020229202930043082,2.638657264700103,1.610064378710934,1.0312288390589432,0.707610396454617,0.32361844260432626
Stratified,200,808,0.020059473623961648,2.674431730901315,1.613351101220991,1.0331033904205045,0.707610396454617,0.3254929939658875
