model,K,quarter,train_start,train_end,eval_start,eval_end,universe_size,assets_dropped,train_length_days,TE_annual_insample,TE_annual_oos,information_ratio_oos,sharpe_ratio_oos,max_drawdown_te_oos,portfolio_return_oos,benchmark_return_oos,tracking_difference,asset_active_share,sector_active_share,n_eff_absolute,diversification_norm,turnover,composition_stability,avg_weight_stability,assets_added,assets_removed,execution_time,solver_gap,solver_optimal
Stratified,75,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,504,0.015526058947773999,0.017624979085739716,2.559833158186922,-0.9080399980154404,-0.005195313482573143,-0.025549495213562312,-0.03647555543559822,0.010926060222035905,0.47935919231145274,0.15494012399278564,41.78348589514504,0.5571131452686006,0.13589529678042508,1.0,0.9320523516097875,0,0,0.17745280265808105,,
MarketCap,75,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,504,0.014956883744302379,0.016958141142772245,2.083363397440169,-1.0224923834292823,-0.0043496603406206515,-0.02786772216909328,-0.03647555543559822,0.008607833266504938,0.4810468540282349,0.10968861258534979,42.31662399572444,0.5642216532763259,0.14957267854275655,1.0,0.9252136607286218,0,0,0.18243050575256348,,
Contribution,75,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,504,0.03522186621272503,0.035861637154910884,1.3464923048544912,-0.9001393554332483,-0.015886465084699496,-0.024709410888252292,-0.03647555543559822,0.011766144547345925,0.765562322674617,0.40420396233019035,12.726929360929505,0.16969239147906007,0.44895778081437154,0.8933333333333333,0.7755211095928143,8,8,0.18762731552124023,,
LASSO,75,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,504,0.009147587061915602,0.0179257654863312,-1.1947997025382704,-1.591549898408317,-0.012627349025835954,-0.04152108759798301,-0.03647555543559822,-0.0050455321623847915,0.6089714617438147,0.15908934338387484,43.1693223791754,0.575590965055672,0.8761163922436581,0.56,0.5619418038781709,33,33,1.8004722595214844,,
MIQP_Gurobi,75,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,504,0.012327248782379719,0.015913173959051043,4.243395220383585,-0.7119239726301604,-0.003091201530184719,-0.02002521371210897,-0.03647555543559822,0.016450341723489248,0.541992669069582,0.14260578573005356,48.331952136481135,0.6444260284864152,0.6107267676505547,0.84,0.6946366161747226,12,12,1.5838565826416016,0.00327432297925335,True
Layered,75,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,504,0.011904753886387575,0.01622615823029879,3.2422880853168574,-0.871796463313622,-0.005185957137234369,-0.023614885346764147,-0.03647555543559822,0.01286067008883407,0.5566348875032495,0.04545841065347782,47.572769804929294,0.6343035973990573,1.0326422860329507,0.4266666666666667,0.48367885698352464,43,43,4.767132520675659,0.0022097082243716726,True
Stratified,100,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,504,0.012367894838867834,0.015014849657644293,4.4350323229141,-0.7319543322232956,-0.0024350858828021387,-0.020212421768688205,-0.03647555543559822,0.016263133666910012,0.4346023085695413,0.15932068119473994,50.86028719863602,0.5086028719863602,0.16452331587714653,1.0,0.9177383420614267,0,0,0.2340235710144043,,
MarketCap,100,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,504,0.011968846722653225,0.015257572269863105,4.572891389758107,-0.6926397813174521,-0.002982056829358287,-0.019466943163678363,-0.03647555543559822,0.017008612271919854,0.42335061344776226,0.11886423849889531,55.706580390245435,0.5570658039024543,0.1848974833589692,1.0,0.9075512583205154,0,0,0.20712041854858398,,
Contribution,100,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,504,0.03281079149230943,0.03264569981612231,1.0983985145725192,-1.0496876233867725,-0.014932471378399047,-0.02765825263278443,-0.03647555543559822,0.008817302802813787,0.740420849667041,0.353168118634184,16.551587203451465,0.16551587203451465,0.36428269610801894,0.9,0.8178586519459905,10,10,0.20000457763671875,,
LASSO,100,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,504,0.007530269424462905,0.016179258050664495,0.6004126263568065,-1.291632057687318,-0.004950375635468772,-0.0340241502619526,-0.03647555543559822,0.0024514051736456155,0.5711497511325424,0.1319284056276065,49.097859736449514,0.4909785973644951,0.7396753759737233,0.61,0.6301623120131383,39,39,1.927643060684204,,
MIQP_Gurobi,100,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,504,0.013911501444858317,0.019896044830414086,0.4769357349822201,-1.3190267969132667,-0.010136612947893468,-0.03402928234934122,-0.03647555543559822,0.0024462730862570004,0.563908892233793,0.19620891898303505,42.97104105572982,0.4297104105572982,0.5272097473362891,0.81,0.7363951263318554,19,19,1.257619857788086,0.004417442094643214,True
Layered,100,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,504,0.01495940357965403,0.017822604556485152,-0.10483942624135503,-1.4238579906323527,-0.010046929935942975,-0.03678263721228081,-0.03647555543559822,-0.00030708177668259395,0.5744755003423803,0.052548797936298054,41.38064945550839,0.4138064945550839,0.6052324721472321,0.75,0.697383763926384,25,25,2.695716381072998,0.00451506688329124,True
Stratified,125,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,504,0.010192405544368652,0.015055293814308326,2.2245435340399085,-1.042146594666548,-0.0032680579800926134,-0.02830951347837929,-0.03647555543559822,0.008166041957218928,0.4367066306977656,0.16061295965253464,53.72269337615988,0.42978154700927906,0.16437395799880247,1.0,0.9178130210005988,0,0,0.2526845932006836,,
MarketCap,125,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,504,0.01030031906683958,0.014197974722515282,5.045026526890031,-0.6764605701190448,-0.0021726412647835027,-0.019005426657733082,-0.03647555543559822,0.017470128777865135,0.41208116305919507,0.13101130746616643,60.77955589308781,0.4862364471447025,0.17252647388995554,1.0,0.9137367630550223,0,0,0.25815463066101074,,
Contribution,125,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,504,0.031029961801274358,0.030558829242239096,1.4030563072648825,-0.9864916298804013,-0.01276026262353807,-0.025935847113642163,-0.03647555543559822,0.010539708321956054,0.7194858522130116,0.30270929158654264,19.842264762521182,0.15873811810016947,0.28813037226138694,0.968,0.8559348138693066,4,4,0.2500791549682617,,
LASSO,125,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,504,0.006910100370523539,0.015744277740122863,1.2528975584377904,-1.2037272282007394,-0.0044680519469162735,-0.031582294237472275,-0.03647555543559822,0.004893261198125942,0.5445058471980796,0.13956254455430916,53.9446144626731,0.4315569157013848,0.6263566703471765,0.68,0.6868216648264118,40,40,2.278899669647217,,
MIQP_Gurobi,125,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,504,0.011510465823021239,0.01857438996259284,-0.051785574872001305,-1.3998249856143938,-0.009353899644155958,-0.036591449090020545,-0.03647555543559822,-0.00011589365442232769,0.5529056096378238,0.1596419546245911,48.54481964361454,0.3883585571489163,0.41556575108042093,0.824,0.7922171244597895,22,22,1.3767414093017578,0.0028068705471643125,True
Layered,125,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,504,0.012836663947576536,0.01848902354429206,0.33326269728353886,-1.3238227010557009,-0.007744656902801977,-0.03488553280881945,-0.03647555543559822,0.0015900226267787643,0.5636644691355456,0.05044666003394561,46.40050097612274,0.37120400780898194,0.7848519834019524,0.68,0.6075740082990237,40,40,2.722702741622925,0.0029569179572324976,True
