asset,sector,weight,benchmark_weight
BKR,Energy,0.05223779938450359,0.0028354784044746996
OKE,Energy,0.04835863245860117,0.002626350504906792
AAPL,Information Technology,0.04770904752322091,0.18153377296327639
EQT,Energy,0.041625481428671,0.0018555739633683763
ISRG,Health Care,0.03521441460873691,0.008350590283591095
KMX,Consumer Discretionary,0.03427264871167422,0.0002972079543722085
BIIB,Health Care,0.031819142110537046,0.0013015516867791682
GLW,Information Technology,0.029329098405498043,0.005074351110387385
GEN,Information Technology,0.028977551850504667,0.0006689251074945983
MCO,Financials,0.027195365127399635,0.00401434566388784
MNST,Consumer Staples,0.026204544167227735,0.0035483785117950964
TSCO,Consumer Discretionary,0.023736888271125155,0.001266557394378126
MKTX,Financials,0.023695045372227046,0.00033187270003409486
SW,Materials,0.023342504133146272,0.0010776655362096112
HPQ,Information Technology,0.023315502827373328,0.0008569782265971006
FAST,Industrials,0.02294864098190931,0.002559393249042596
CPAY,Financials,0.020457303810268078,0.001055144355775852
EQIX,Real Estate,0.02034514091763836,0.004417517325002916
GILD,Health Care,0.019905261373176966,0.00857338657443718
TKO,Communication Services,0.019812547027792705,0.0007673660263026155
CTSH,Information Technology,0.019595434568285063,0.0015341654591656511
RF,Financials,0.019207447908832102,0.0011374616286929247
APO,Financials,0.018868012437564745,0.0030266727914883673
MSCI,Financials,0.017954050653671078,0.0020518968708512788
MTCH,Communication Services,0.01709945883065351,0.0003450684470623231
DPZ,Consumer Discretionary,0.016109073969078593,0.0006588713406720454
BAC,Financials,0.015821159996357484,0.017039486858598414
MOS,Materials,0.015671189641693027,0.00040074064907751614
NTAP,Information Technology,0.01565416814472901,0.0009602149506527229
NEM,Materials,0.015296095899229218,0.00608784303767638
AMZN,Consumer Discretionary,0.014872676048205477,0.10975257022524675
HOLX,Health Care,0.014218557851384005,0.0008111450223288715
RMD,Health Care,0.013680920571507894,0.0017706857493854234
EBAY,Consumer Discretionary,0.01273855174799291,0.0020102804009562167
GM,Consumer Discretionary,0.012425799519215039,0.0033657689929538757
LRCX,Information Technology,0.011058389598879862,0.012010588587211123
DHI,Consumer Discretionary,0.01091939951722245,0.0020564490713765953
MPC,Energy,0.010808049149118709,0.0031909964821737647
PODD,Health Care,0.00983962255673674,0.0008003967929213226
EW,Health Care,0.009790855517439053,0.0022746849089058043
STZ,Consumer Staples,0.0095303167605832,0.0012232741553305628
MET,Financials,0.009458685631845985,0.002270447689925016
FICO,Information Technology,0.008454843805421875,0.001679700097905121
GNRC,Industrials,0.00844191781100381,0.0005743605445316704
C,Financials,0.008074789202275614,0.008939898549463973
KKR,Financials,0.007814598726635591,0.004057192978695518
WYNN,Consumer Discretionary,0.007414423878726073,0.0005068312916143732
TPR,Consumer Discretionary,0.006812952018861831,0.0014151990126447815
UAL,Industrials,0.0044156948904797745,0.0014298926167792135
MOH,Health Care,0.004370241074399119,0.00035692466286051946
BX,Financials,0.004065964451089187,0.006512357203744958
HCA,Health Care,0.0037176463298737635,0.005715825271709053
BSX,Health Care,0.0037111235170025547,0.005079090963673167
ULTA,Consumer Discretionary,0.0035762158501557004,0.0013902805927579701
SMCI,Information Technology,0.003133186265168971,0.0008996920230270453
CMG,Consumer Discretionary,0.002472013525307002,0.002243620811990027
WSM,Consumer Discretionary,0.0016904112249795736,0.0010681966368650917
VRTX,Health Care,0.0013961215249991411,0.005565514428101931
LYV,Communication Services,0.0013865201608979885,0.0017586510178459896
EXPE,Consumer Discretionary,0.0010294478076168041,0.0014673398549763358
NVDA,Information Technology,0.0005014109236482166,0.20740851611828254
ON,Information Technology,9.999999999999991e-05,0.0010977653083007503
AVGO,Information Technology,9.999999999999991e-05,0.075160980255171
ADSK,Information Technology,9.999999999999991e-05,0.002654308211780496
VMC,Materials,9.999999999999991e-05,0.0017430624770649243
MGM,Consumer Discretionary,9.999999999999991e-05,0.0004667056295660578
VLO,Energy,9.999999999999991e-05,0.0032867964585589224
CRM,Information Technology,9.999999999999991e-05,0.009084876517763239
TXT,Industrials,9.999999999999991e-05,0.0007933901728871472
JBL,Information Technology,9.999999999999991e-05,0.0012354791498196745
MS,Financials,9.999999999999991e-05,0.01220832704494155
MPWR,Information Technology,9.999999999999991e-05,0.0024108815139954874
LEN,Consumer Discretionary,9.999999999999991e-05,0.0011987180722922292
PTC,Information Technology,9.999999999999991e-05,0.0009288351844597871
WDC,Information Technology,9.999999999999991e-05,0.004022526145273863
CTRA,Energy,9.999999999999991e-05,0.0011302414185533833
TTWO,Communication Services,9.999999999999991e-05,0.0018788210947168322
AKAM,Information Technology,9.999999999999991e-05,0.0006942987572586932
MAS,Industrials,9.999999999999991e-05,0.0006218006360898337
LULU,Consumer Discretionary,9.999999999999991e-05,0.000967871183279668
DAL,Industrials,9.999999999999991e-05,0.0018489167115102278
FFIV,Information Technology,9.999999999999991e-05,0.000780054152964284
EA,Communication Services,9.999999999999991e-05,0.0023770446756106916
REGN,Health Care,9.999999999999991e-05,0.0038537325854837083
SWKS,Information Technology,9.999999999999991e-05,0.00039520729970802306
NXPI,Information Technology,9.999999999999991e-05,0.0024455503123675146
URI,Industrials,9.999999999999991e-05,0.002471297646568482
CNC,Health Care,9.999999999999991e-05,0.0010297666287397366
FTNT,Information Technology,9.999999999999991e-05,0.0029848938201975945
ALGN,Health Care,9.999999999999991e-05,0.0005989117151940757
DXCM,Health Care,9.999999999999991e-05,0.0012741526152960404
MU,Information Technology,9.999999999999991e-05,0.019993756730763416
STX,Information Technology,9.999999999999991e-05,0.0037915556608829433
NFLX,Communication Services,9.999999999999991e-05,0.02014994670588163
TSLA,Consumer Discretionary,9.999999999999991e-05,0.07141665256945362
FSLR,Information Technology,9.999999999999991e-05,0.0009740471205443532
BLDR,Industrials,9.999999999999991e-05,0.0004940940903171802
DECK,Consumer Discretionary,9.999999999999991e-05,0.0007288881225119586
AXON,Industrials,9.999999999999991e-05,0.0022138824670898016
BBY,Consumer Discretionary,9.999999999999991e-05,0.0006720721228856001
PHM,Consumer Discretionary,9.999999999999991e-05,0.0011795073419966092
TMUS,Communication Services,9.999999999999991e-05,0.011888885849050625
INCY,Health Care,9.999999999999991e-05,0.0009159589629238207
AMD,Information Technology,9.999999999999991e-05,0.015051648745318547
FCX,Materials,9.999999999999991e-05,0.004092637146484082
TRMB,Information Technology,9.999999999999991e-05,0.0007998682212714283
STLD,Materials,9.999999999999991e-05,0.0012719631693447588
CF,Materials,9.999999999999991e-05,0.000866321663860409
LYB,Materials,9.999999999999991e-05,0.0010372034746577198
EOG,Energy,9.999999999999991e-05,0.0034205710658208738
RCL,Consumer Discretionary,9.999999999999991e-05,0.0036380372322896235
LVS,Consumer Discretionary,9.999999999999991e-05,0.0017385592038038544
EMN,Materials,9.999999999999991e-05,0.0003848601412331472
BKNG,Consumer Discretionary,9.999999999999991e-05,0.007036485707859567
CBRE,Real Estate,9.999999999999991e-05,0.0019534202390702623
TER,Information Technology,9.999999999999991e-05,0.002050705914431201
MHK,Consumer Discretionary,9.999999999999991e-05,0.0003184294183828353
AIG,Financials,9.999999999999991e-05,0.0020376492122036256
CMI,Industrials,9.999999999999991e-05,0.003574087136473748
HIG,Financials,9.999999999999991e-05,0.0018630985443204406
LKQ,Consumer Discretionary,9.999999999999991e-05,0.0003864298418373036
HAL,Energy,9.999999999999991e-05,0.0013747641656555335
CSGP,Real Estate,9.999999999999991e-05,0.0009836527804347188
GRMN,Consumer Discretionary,9.999999999999991e-05,0.0022482386418577463
