asset,sector,weight,benchmark_weight,active_weight
AAPL,Information Technology,0.09906350554814837,0.06220292512399854,0.03686058042414983
META,Communication Services,0.08747723087352158,0.026813570896259357,0.060663659977262224
DIS,Communication Services,0.06850961861342748,0.002959958905856677,0.0655496597075708
MCO,Financials,0.06629916653174657,0.001375523896609463,0.06492364263513711
APH,Information Technology,0.05489333252373652,0.0026645192371864677,0.05222881328655005
GLW,Information Technology,0.053283311258400815,0.0017387369689945136,0.0515445742894063
TGT,Consumer Staples,0.05247316380911594,0.0009022221508575488,0.05157094165825839
PANW,Information Technology,0.045525104574610314,0.0022138628710863684,0.04331124170352395
MAR,Consumer Discretionary,0.0406679295967416,0.0014104004084677499,0.03925752918827385
JCI,Industrials,0.03845860045938642,0.0013320832154776452,0.03712651724390877
BKR,Energy,0.03837524643301043,0.0009715825766477877,0.03740366385636264
ISRG,Health Care,0.03697785648836751,0.002861347140382994,0.03411650934798451
AMZN,Consumer Discretionary,0.03175069303639034,0.03760694661080215,-0.0058562535744118085
BAX,Health Care,0.024323492887967604,0.00014960628723332707,0.024173886600734277
NVDA,Information Technology,0.023881060370081763,0.0710689597180084,-0.04718789934792664
PPG,Materials,0.021331685056028196,0.0003919915237927935,0.0209396935322354
PRU,Financials,0.02059949517373986,0.0005555625246522108,0.020043932649087652
WAB,Industrials,0.017250053078973083,0.0006875920088147521,0.01656246107015833
LVS,Consumer Discretionary,0.017226415661214245,0.0005957209295689937,0.016630694731645253
NRG,Utilities,0.01635857514000602,0.0005445701866914317,0.01581400495331459
ORCL,Information Technology,0.014037916808017985,0.007226423922019307,0.006811492885998678
PNC,Financials,0.013852599202427715,0.0013698839792886987,0.012482715223139016
ENPH,Information Technology,0.01218102596523842,8.669495231100301e-05,0.012094331012927418
CDNS,Information Technology,0.00982323338643052,0.0013465634874078735,0.008476669899022647
PLD,Real Estate,0.009252303511840858,0.00205576447390564,0.0071965390379352175
TXT,Industrials,0.008810056314220004,0.0002718567939873042,0.0085381995202327
IQV,Health Care,0.008760055603970217,0.0004884613716654591,0.008271594232304757
WAT,Health Care,0.008041968426708635,0.00048787112818728795,0.0075540972985213475
BXP,Real Estate,0.007362217620614583,0.00015407847652538432,0.007208139144089199
BLK,Financials,0.00693417121189381,0.0024428645480244027,0.004491306663869408
CAT,Industrials,0.006761628252183048,0.005237876576049504,0.0015237516761335444
CBRE,Real Estate,0.006743742019417379,0.0006693435104837024,0.006074398508933676
MMM,Industrials,0.006404034799441627,0.001328195479332484,0.005075839320109143
