model,K,train_length_days,eval_length_days,TE_annual,TE_annual_oos,portfolio_return_oos,benchmark_return_oos,tracking_difference_oos,asset_active_share,sector_active_share,diversification,bench_diversification,execution_time
Stratified,50,756,63,0.02131236702790284,0.02898214234766692,-0.005879112526291919,-0.04069498614565792,0.034815873619366,0.4942060616684135,0.13590036429144775,0.6380136713244314,0.09034232650304058,0.15113544464111328
Stratified_sector,50,756,63,0.02500316655006096,0.03388903467396046,-0.008027889650215503,-0.04069498614565792,0.032667096495442416,0.48427939807160847,0.05085953840957792,0.6396434455480413,0.09034232650304058,0.31417059898376465
MarketCap,50,756,63,0.021693871236353527,0.026053028624837004,-0.017715386522920595,-0.04069498614565792,0.022979599622737323,0.4828301137268606,0.12140986381729776,0.6151692954455764,0.09034232650304058,0.20158600807189941
MarketCap_sector,50,756,63,0.022853926634853753,0.028623438188223903,-0.011780110626101181,-0.04069498614565792,0.028914875519556738,0.4700943310775579,0.05687763868654893,0.6266394109535378,0.09034232650304058,0.3111305236816406
Contribution,50,756,63,0.04804421985537957,0.06968957290161558,-0.0854645442364943,-0.04069498614565792,-0.04476955809083638,0.7592358135327385,0.4543523978149131,0.25580587773348484,0.09034232650304058,0.18023371696472168
Contribution_sector,50,756,63,0.048578723152002116,0.07003815524207944,-0.08185284612912191,-0.04069498614565792,-0.041157859983463996,0.7590156186864467,0.41564770015762537,0.2657933890571471,0.09034232650304058,0.23859310150146484
LASSO,50,756,63,0.016725534539537245,0.02864372187040052,-0.03422413436800209,-0.04069498614565792,0.006470851777655828,0.5951079989364443,0.17192828222591428,0.6496585560610312,0.09034232650304058,6.96748685836792
LASSO_sector,50,756,63,0.02078890675900595,0.031049630272965006,-0.03078756711204622,-0.04069498614565792,0.009907419033611697,0.5709645600829084,0.05738953705221285,0.6227232756797685,0.09034232650304058,5.624154806137085
MIQP_Gurobi,50,756,63,0.016275470405577402,0.024721867599735565,-0.037867550548427276,-0.04069498614565792,0.002827435597230643,0.5390063895599028,0.14792410322224359,0.6935959908794164,0.09034232650304058,2.52518367767334
Layered,50,756,63,0.016948173559725235,0.02671397868132086,-0.0248403700118629,-0.04069498614565792,0.01585461613379502,0.5277857799508145,0.04702208691484358,0.7242454435743412,0.09034232650304058,14.295723676681519
Stratified,75,756,63,0.018175040083097446,0.022167750959520477,-0.01094629490005572,-0.04069498614565792,0.0297486912456022,0.44649556814119473,0.10724371129539408,0.5073563617317465,0.09034232650304058,0.2507340908050537
Stratified_sector,75,756,63,0.019756728947929774,0.026132222345901845,-0.006247586299658936,-0.04069498614565792,0.03444739984599898,0.4491827201308318,0.047922613734564704,0.5116218355232899,0.09034232650304058,0.36263203620910645
MarketCap,75,756,63,0.0172233752563646,0.021595828655231453,-0.023759133189374504,-0.04069498614565792,0.016935852956283415,0.4441624451123459,0.08932426565912144,0.5164290344076855,0.09034232650304058,0.25342774391174316
MarketCap_sector,75,756,63,0.018355587039287045,0.025295884610675095,-0.01907234591301421,-0.04069498614565792,0.02162264023264371,0.4348978054430426,0.03480572137970461,0.5319500984030796,0.09034232650304058,0.38305234909057617
Contribution,75,756,63,0.0401042423105733,0.057456647261409026,-0.06897921814764196,-0.04069498614565792,-0.028284232001984044,0.6776848227326888,0.40363944851844175,0.24094029508796017,0.09034232650304058,0.23810172080993652
Contribution_sector,75,756,63,0.051269080238503496,0.05684809021629608,-0.058830778126508054,-0.04069498614565792,-0.018135791980850136,0.6919918953020296,0.22523816322660123,0.20772614164431488,0.09034232650304058,0.3405730724334717
LASSO,75,756,63,0.013690575582912083,0.02518900810542231,-0.027837575661461944,-0.04069498614565792,0.012857410484195975,0.5554746875148288,0.12067117299579252,0.5381877581290847,0.09034232650304058,4.6645166873931885
LASSO_sector,75,756,63,0.016272322700292472,0.02843450132486822,-0.020650403180907162,-0.04069498614565792,0.020044582964750757,0.539318738388774,0.04734438050942634,0.5165792618202081,0.09034232650304058,4.537330865859985
MIQP_Gurobi,75,756,63,0.014396709907520656,0.022997832236794434,-0.03756938099231588,-0.04069498614565792,0.003125605153342037,0.49575313727616,0.14166533899602018,0.5493451805253503,0.09034232650304058,1.5977966785430908
Layered,75,756,63,0.016437349345897523,0.027812305406901137,-0.03112281061304889,-0.04069498614565792,0.009572175532609029,0.5217674289440704,0.05053899164700955,0.5496896045770038,0.09034232650304058,5.273448467254639
Stratified,100,756,63,0.016033779652315772,0.019816005011579724,-0.01508080430447789,-0.04069498614565792,0.025614181841180028,0.4307787526313216,0.10927104018305513,0.42060986648358034,0.09034232650304058,0.43872904777526855
Stratified_sector,100,756,63,0.01733475701631171,0.024125357667432245,-0.0128879348057096,-0.04069498614565792,0.02780705133994832,0.4237962739086217,0.04316680737975165,0.42389816943810266,0.09034232650304058,0.6360077857971191
