date,portfolio_return,benchmark_return,active_return,portfolio_cum_return,benchmark_cum_return,active_cum_return
2024-10-01,-0.010328614801108384,-0.009324107094664358,-0.0010045077064440265,-0.01032861480110836,-0.009324107094664358,-0.0010045077064440265
2024-10-02,0.0007247406953321296,0.00013839090212397487,0.0005863497932081548,-0.009611359673248998,-0.009187006564132738,-0.00041815791323587175
2024-10-03,-0.003226894133051347,-0.001681413492255035,-0.001545480640796312,-0.012807238966160095,-0.010852972899597413,-0.0019636385540321836
2024-10-04,0.008691236224939225,0.008970249395274354,-0.0002790131703351295,-0.0042273134804651225,-0.0019800773779126146,-0.002242651724367313
2024-10-07,-0.01086408145630179,-0.009586022165882668,-0.0012780592904191208,-0.015045469058773797,-0.011547118478160479,-0.003520711014786434
2024-10-08,0.009181105663753636,0.009689347495581924,-0.0005082418318282881,-0.0060024974362095085,-0.001969655026086148,-0.004028952846614722
2024-10-09,0.01018325657517305,0.007113411987488272,0.003069844587684778,0.004119634167478958,0.005129745993728285,-0.0009591082589299436
2024-10-10,-0.002698110479843321,-0.002070122839989974,-0.0006279876398533469,0.0014104084595152333,0.0030490039493933363,-0.0015870958987832906
2024-10-11,0.007407105955022141,0.006051847587953629,0.0013552583670685117,0.00882796145943665,0.00911930364454383,-0.0002318375317147789
2024-10-14,0.007625702291394389,0.0077076668832223305,-8.196459182794116e-05,0.016520983156760538,0.0168972590824652,-0.00031380212354272007
2024-10-15,-0.0026235036721439977,-0.007609466332438197,0.0049859626602941996,0.013854136624637414,0.00915921362592842,0.00467216053675148
2024-10-16,0.005537313680090092,0.004679145956573816,0.0008581677235162764,0.019468165004984828,0.0138812168799054,0.005530328260267756
2024-10-17,0.0013362474227888081,-0.00017116047891174713,0.0015074079017005553,0.02083042671308788,0.013707680485264717,0.007037736161968311
2024-10-18,0.005198054939365137,0.00397155273894878,0.0012265022004163562,0.026136759354917993,0.017733674000189437,0.008264238362384668
2024-10-21,-0.002664199655170301,-0.0018227694906369774,-0.0008414301645333238,0.023402926154487025,0.01587858010962795,0.007422808197851344
2024-10-22,-0.0006518465140752863,-0.0004748538883844189,-0.00017699262569086745,0.022735824524578785,0.015396186215736352,0.007245815572160477
2024-10-23,-0.008140883171373143,-0.009191323428069387,0.0010504402566962438,0.014409851661946194,0.006063351460599442,0.008296255828856722
2024-10-24,-0.003639491508899898,0.002145772011323821,-0.005785263520223719,0.010717915620278129,0.008222134041782292,0.002510992308633003
2024-10-25,-0.0020192680981403984,-0.00029944716993013376,-0.0017198209282102647,0.008677005177047281,0.007920224777082652,0.0007911713804227383
2024-10-28,0.0036200156662831526,0.0026514435020339455,0.0009685721642492071,0.012328431738007684,0.0105926683076365,0.0017597435446719454
2024-10-29,0.002655240377367028,0.001614127248163344,0.001041113129203684,0.01501640706511509,0.012223893470346026,0.0028008566738756293
2024-10-30,-0.001436724567957637,-0.003300233889343751,0.001863509321386114,0.01355810805620461,0.008883317873511709,0.004664365995261743
2024-10-31,-0.017886459153304144,-0.018614700871699585,0.0007282417183954414,-0.0045708576430428804,-0.00989674330315149,0.005392607713657184
2024-11-01,0.00537353997412586,0.004092509543626166,0.001281030430499694,0.0007781206448220779,-0.0058447362759442845,0.006673638144156878
2024-11-04,-0.0013223978496285172,-0.002812083478299976,0.0014896856286714588,-0.0005453061898739175,-0.008640383867927648,0.008163323772828336
2024-11-05,0.012082690222479311,0.012265644545291332,-0.00018295432281202097,0.011530795266836646,0.0035192808001047737,0.007980369450016315
2024-11-06,0.03142905129673911,0.025295927786425976,0.006133123510313136,0.04332224851950928,0.028904232059510315,0.014113492960329451
2024-11-07,0.0037097795775662937,0.007431229727488331,-0.0037214501499220373,0.047192744089887384,0.036550255775529505,0.010392042810407414
2024-11-08,0.005873313520230952,0.0037568333092317108,0.002116480210999241,0.053343235392038224,0.04044440230311963,0.012508523021406655
2024-11-11,0.0013029469812668396,0.0009690634297987444,0.00033388355146809524,0.05471568578083019,0.041452658924130414,0.01284240657287475
2024-11-12,-0.0011877070542963097,-0.00289265965137242,0.0017049525970761104,0.05346299252055142,0.03844009083884603,0.01454735916995086
2024-11-13,0.001822821076422499,0.00023222772482434095,0.001590593351598158,0.055383267066548836,0.038681245418507926,0.016137952521549016
2024-11-14,-0.006197333836587464,-0.006049734794859041,-0.00014759904172842366,0.048842704634989076,0.03239749934733216,0.015990353479820592
2024-11-15,-0.011454771175733272,-0.013203489851361216,0.001748718675627944,0.03682845145405822,0.018766249442129013,0.017739072155448538
2024-11-18,0.002984472264020007,0.003917814394541086,-0.000933342130521079,0.039922837209969586,0.022757586518866058,0.016805730024927457
2024-11-19,0.0011087004464419253,0.003963584828470035,-0.0028548843820281095,0.04107580012384937,0.026811372971994762,0.013950845642899348
2024-11-20,-0.002516146441186153,2.195086225209586e-05,-0.002538097303438249,0.03845630095436281,0.026833912367001833,0.011412748339461098
2024-11-21,0.007163809039857871,0.0053404615405816536,0.001823347499276217,0.045895603590637046,0.03231767938456276,0.013236095838737316
2024-11-22,0.004678068109746936,0.003467959094991535,0.001210109014755401,0.050788374459918906,0.035897714869705055,0.014446204853492716
2024-11-25,0.004380951423383792,0.003020480305938378,0.0013604711174454139,0.05539182728468406,0.0390266235164356,0.01580667597093813
2024-11-26,0.007108747915427587,0.005722005647630368,0.0013867422677972191,0.06289434173685327,0.044971939724234966,0.01719341823873535
2024-11-27,-0.0009687972043552235,-0.003801238017440034,0.0028324408130848107,0.0618646126700535,0.04099975265979716,0.02002585905182016
2024-11-29,0.0038591460510663997,0.005607785488815242,-0.0017486394377488426,0.06596250329680631,0.04683745596662292,0.018277219614071315
2024-12-02,0.001685449060016324,0.0024484564662998753,-0.0007630074062835513,0.06775912879600043,0.049400591904849245,0.017514212207787764
2024-12-03,-0.0016535884232945657,0.0004514491145146682,-0.002105037537809234,0.06599349466175619,0.049874342872835875,0.01540917466997853
2024-12-04,0.004184056254715403,0.006051417924264779,-0.0018673616695493766,0.07045367141058145,0.05622757128952216,0.013541813000429153
2024-12-05,-0.001916528534757296,-0.0018697756269248078,-4.675290783248817e-05,0.06840211640418725,0.0542526627202391,0.013495060092596664
2024-12-06,0.0036702355782084893,0.0024954538421815275,0.0011747817360269618,0.07232340386364733,0.05688350157805444,0.014669841828623626
2024-12-09,-0.004546377143006979,-0.006144213927296471,0.001597836784289492,0.06744821725041028,0.050389783248128595,0.016267678612913117
2024-12-10,-0.0012342703625613,-0.002963883313944371,0.001729612951383071,0.06613069755228929,0.047276550496421876,0.017997291564296188
2024-12-11,0.007409224323090917,0.008165786048233592,-0.0007565617251426753,0.07402989904818758,0.055828386741107794,0.017240729839153514
2024-12-12,-0.00392550192746739,-0.005414022527810203,0.001488520600342813,0.0698137926093163,0.05011210806978994,0.018729250439496328
2024-12-13,0.0018381266019381474,-2.6466639124200775e-05,0.0018645932410623481,0.0717802458006318,0.05008431513158573,0.020593843680558676
2024-12-16,0.006728071183322368,0.0037993543260221863,0.002928716857300182,0.07899125958725728,0.05407395751696886,0.02352256053785886
2024-12-17,-0.005160739251468523,-0.003863994965801476,-0.0012967442856670472,0.07342286704191392,0.05000102105154092,0.02222581625219181
2024-12-18,-0.029157260123610973,-0.02949284635160343,0.0003355862279924571,0.04212479728494056,0.0190335022686412,0.02256140248018427
2024-12-19,-0.0012814168695697691,-0.0008651123249070469,-0.0004163045446627222,0.04078940098950268,0.01815192382633546,0.022145097935521545
2024-12-20,0.012420709111757175,0.010869123768910471,0.0015515853428467036,0.05371674338579324,0.029218343101958144,0.023696683278368248
2024-12-23,0.004029701358683767,0.007287273468533639,-0.0032575721098498725,0.05796290717828301,0.036718538626973274,0.020439111168518376
2024-12-24,0.010323298803669573,0.01104275925539211,-0.000719460451722536,0.06888457439228346,0.04816677186463281,0.01971965071679584
2024-12-26,0.00030510067588220696,-0.00040565878647391695,0.0007107594623561239,0.0692106917983708,0.047741573803935955,0.020430410179151964
2024-12-27,-0.009734195500843036,-0.011055736101235558,0.0013215406003925217,0.058802785892813736,0.03615801946166641,0.021751950779544484
2024-12-30,-0.010164321448542452,-0.010701995701766776,0.0005376742532243236,0.04804077402638707,0.025069060791036435,0.02228962503276881
2024-12-31,-0.0029997261972710527,-0.004284800394927402,0.001285074197656349,0.044896938660731855,0.02067684447453111,0.02357469923042516
