Strategy,K,Mean_Corr_in,TE_in (%),Std_TE_in,Mean_Corr_out,TE_out (%),Std_TE_out,Consistency,Return_in (%),Return_out (%),Sharpe_in,Sharpe_out
S-Strategy (Stratified Sampling),50,0.6332878625989248,0.1625108410760895,0.000501839721495262,0.3919985648294045,0.19122016351472468,0.00048711597836183413,0.028709322438635165,12.942552737645352,19.626024598051316,0.5569459469669774,2.87319117776778
Clustering (Data-Driven),50,0.5816422994294715,0.1742174350616492,0.00047958908163644055,0.34346649514263644,0.2391800544566665,0.0009247176999277204,0.06496261939501732,14.82199607834378,19.203866664187363,0.6225018450344713,2.7464997306037695
Correlation Ranking (Baseline),50,0.6999363425413491,0.1748665058446005,0.0005376066154353423,0.4487868805164431,0.22979572633445028,0.0017099926194306418,0.05492922048984977,16.876373322150307,19.96620739367019,0.6662151707519454,2.650681481380032
